"ID","Type","Tool","Summary","AllLabels","Opened","OpenedTimestamp"
"976","Defect","mk_query_digest","mk-query-digest chokes on an old version of a client authentication packet ","Type-Defect, Severity-Serious, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Module-MySQLProtocolParser.pm, Tag-protocol","Apr 02, 2010 15:18:44","1270221524"
"975","Enhancement","mk_archiver","New features suggestion/patch for mk-archiver","Type-Enhancement, Benefit-Helpful, Effort-Moderate, Tool-mk_archiver, PatchContributed","Apr 01, 2010 17:36:15","1270143375"
"974","Enhancement","mk_table_checksum","Make mk-table-checksum report binlog position","Type-Enhancement, Tool-mk_table_checksum, Benefit-Helpful, Effort-Moderate","Apr 01, 2010 01:24:50","1270085090"
"973","Enhancement","","Develop Grants.pm","Type-Enhancement, Effort-Easy, Benefit-Minimal, Module-Grants.pm","Apr 01, 2010 00:53:16","1270083196"
"971","Enhancement","","Create a tool to show how queries use indexes","Type-Enhancement, Effort-Moderate, Benefit-LifeChanging","Mar 31, 2010 18:50:08","1270061408"
"970","Enhancement","new","Create a tool to make online schema changes","Type-Enhancement, Tool-new, Effort-Extensive, Benefit-LifeChanging","Mar 31, 2010 17:18:35","1270055915"
"969","Enhancement","mk_query_advisor","Make mk-query-advisor complain about ORDER BY a constant","Type-Enhancement, Tool-mk_query_advisor, Benefit-Helpful, Effort-Moderate","Mar 31, 2010 03:40:21","1270006821"
"968","Enhancement","mk_query_digest","Handle/remove ^M from mk-query-digest output","Type-Enhancement, Effort-Easy, Benefit-Helpful, Tool-mk_query_digest","Mar 30, 2010 17:06:32","1269968792"
"967","Defect","mk_parallel_restore","Patch for error handling in mk-parallel-restore","Type-Defect, SolutionProposed, Tool-mk_parallel_restore, Severity-Minor, Effort-Moderate, Benefit-Helpful","Mar 30, 2010 16:49:53","1269967793"
"966","Enhancement","mk_query_digest","Make mk-query-digest read the output of SHOW FULL PROCESSLIST","Type-Enhancement, Tool-mk_query_digest, Tag-processlist, Effort-Moderate, Benefit-Helpful","Mar 30, 2010 02:34:41","1269916481"
"964","Enhancement","all","Add --stop and --sentinel to all daemonizable tools","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-all","Mar 29, 2010 03:38:12","1269833892"
"963","Docs","mk_table_sync","Review mk-table-sync docs for clarity","Type-Docs, Effort-easy, Benefit-Helpful, Tool-mk_table_sync","Mar 23, 2010 21:19:03","1269379143"
"961","Defect","mk_slave_delay","mk-slave-delay: init.d script depend on non-existing virtual facility $mysql","Type-Defect, Severity-Serious, Effort-Moderate, Benefit-Helpful, Tool-mk_slave_delay","Mar 23, 2010 07:21:33","1269328893"
"960","Defect","mk_table_sync","mk-table-sync is using mysql round() which behavior is not defined across platforms","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-mk_table_sync","Mar 23, 2010 04:41:23","1269319283"
"959","Defect","mk_upgrade","mk-upgrade error 'Duplicate column name ... Not a SCALAR reference'","Type-Defect, Severity-Serious, Effort-Moderate, Benefit-Helpful, Tool-mk_upgrade","Mar 23, 2010 00:15:03","1269303303"
"958","Defect","mk_duplicate_key_checker","Use of uninitialized value in concatenation (.) or string at ./mk-duplicate-key-checker line 3446. ","Type-Defect, Severity-Serious, Effort-Moderate, Benefit-Helpful, Tool-mk_duplicate_key_checker","Mar 22, 2010 18:13:14","1269281594"
"957","Defect","mk_query_digest","mk-query-digest error: ""my"" variable $verbs masks earlier declaration","Type-Defect, Severity-Serious, Effort-Easy, Benefit-Helpful, Tool-mk_query_digest","Mar 22, 2010 16:38:47","1269275927"
"955","Enhancement","mk_query_digest","Make mk-query-digest report header show filename(s)","Type-Enhancement, Effort-Easy, Benefit-Helpful, Tool-mk_query_digest, Tag-reporting","Mar 22, 2010 01:52:17","1269222737"
"953","Enhancement","mk_query_advisor","Make mk-query-advisor suggest FORCE INDEX","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_advisor, Tag-indexing, Tag-limit, Tag-explain","Mar 20, 2010 15:29:57","1269098997"
"950","Enhancement","mk_query_advisor","Make mk-query-advisor detect broken exclusion joins","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_advisor, Tag-leftjoin","Mar 19, 2010 13:30:31","1269005431"
"941","Enhancement","mk_table_checksum","mk-table-checksum chunking should treat zero dates similar to NULL","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_table_checksum, Tag-zerodate, Tag-chunking, Module-TableChunker.pm, PatchContributed","Mar 16, 2010 18:27:10","1268764030"
"938","Enhancement","mk_query_digest","Make mk-query-digest consume SHOW PROFILES data","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-profiling, Module-SlowLogParser.pm","Mar 12, 2010 18:34:52","1268418892"
"936","Enhancement","mk_table_sync","Make mk-table-sync do n-way synchronization","Type-Enhancement, Effort-Moderate, Benefit-LifeChanging, Tool-mk_table_sync","Mar 12, 2010 03:47:06","1268365626"
"935","Enhancement","mk_query_digest","Make mk-query-digest profile come first","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-reporting, Tag-profile","Mar 10, 2010 22:56:42","1268261802"
"933","Enhancement","mk_query_digest","mk-query-digest :: Allow me to specify SLA for a query when using --review","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-sla, Tag-percentile, Tag-queryreview","Mar 05, 2010 19:00:26","1267815626"
"931","Enhancement","mk_query_advisor","Add InnoDB status as a source of query events","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_query_advisor, Tag-logparser, Tag-innodbstatus","Mar 04, 2010 05:16:50","1267679810"
"930","Enhancement","mk_slave_find","Make mk-slave-find purge binlogs on master up until oldest slave","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_slave_find, Tag-replication","Mar 03, 2010 16:09:45","1267632585"
"929","Enhancement","mk_query_digest","Make mk-query-digest signal when --attribute-value-limit is applied","Type-Enhancement, Effort-Easy, Benefit-Minimal, Tool-mk_query_digest","Mar 03, 2010 14:15:26","1267625726"
"928","Defect","mk_table_checksum","Time::HiRes::sleep(-0.24267): negative time not invented yet at ./mk-table-checksum line 4718. ","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Minimal, Tool-mk_table_checksum, Tag-impossibility","Mar 03, 2010 01:53:11","1267581191"
"927","Enhancement","new","Create a tool to summarize InnoDB output","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-new","Mar 02, 2010 07:12:06","1267513926"
"925","Enhancement","mk_slave_restart","Make mk-slave-restart able to restart InnoDB lock wait timeouts","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_slave_restart, Tag-rollback, Percona-9372","Mar 01, 2010 20:55:48","1267476948"
"922","Defect","mk_table_checksum","mk-table-checksum --arg-table causes false positive results","Type-Defect, Severity-Serious, Effort-Moderate, Benefit-Helpful, Tool-mk_table_checksum, Tag-argtable","Feb 26, 2010 22:00:52","1267221652"
"920","Defect","mk_table_sync","mk-table-sync Chunk and Nibble do not detect some differences","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-mk_table_sync, Tag-chunking, Tag-nibbling, Tag-limitation","Feb 25, 2010 09:03:41","1267088621"
"919","Enhancement","new","Create mk-diff","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-new","Feb 25, 2010 08:01:11","1267084871"
"918","Enhancement","mk_query_digest","mk-query-digest does not fingerprint LOAD DATA","Type-Enhancement, Effort-Easy, Benefit-Minimal, Tool-mk_query_digest, Module-QueryRewriter.pm","Feb 24, 2010 17:57:09","1267034229"
"916","Enhancement","new","Make a tool to summarize SHOW INNODB STATUS","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-new, Tag-innodbstatus","Feb 24, 2010 01:33:06","1266975186"
"915","Enhancement","mk_query_digest","Add Sphinx searchd log support to mk-query-digest","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-logparsing, Tag-sphinx","Feb 24, 2010 01:03:11","1266973391"
"914","Enhancement","","Create a way to analyze temp table usage","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tag-temptable","Feb 23, 2010 22:56:51","1266965811"
"913","Enhancement","mk_error_log","Make genlog parser have syslog wrapper","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_error_log, Module-ErrorLogParser.pm, Tag-syslog, QuickWin","Feb 23, 2010 16:04:16","1266941056"
"912","Defect","mk_error_log","Another test case for mk-error-log","Type-Defect, Severity-Minor, Effort-Easy, Benefit-Helpful, Tool-mk_error_log, Percona-9461","Feb 23, 2010 14:16:38","1266934598"
"910","Enhancement","mk_error_log","Add postgres support to mk-error-log","Type-Enhancement, Effort-Moderate, Benefit-Minimal, Tool-mk_error_log, Tag-logparser, Tag-postgres","Feb 20, 2010 15:12:59","1266678779"
"909","Enhancement","mk_visual_explain","Add textual explain for mk-visual-explain","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_visual_explain","Feb 20, 2010 07:19:48","1266650388"
"908","Enhancement","all","DUAL isn't a real table","Type-Enhancement, Effort-Easy, Benefit-Minimal, Tool-all, Module-QueryParser.pm, Tag-queryparsing","Feb 20, 2010 07:05:12","1266649512"
"905","Testing","","common/t tests should die not bail out","Type-Testing, Effort-Moderate, Benefit-Minimal","Feb 17, 2010 16:56:24","1266425784"
"900","Enhancement","mk_duplicate_key_checker","One big ALTER TABLE DROP INDEX","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_duplicate_key_checker","Feb 15, 2010 21:54:58","1266270898"
"899","Enhancement","mk_duplicate_key_checker","Print duplicate index sizes per-table and per-index","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_duplicate_key_checker","Feb 15, 2010 21:53:33","1266270813"
"896","Defect","mk_slave_delay","mk-slave-delay Issue With 72h Delay","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-mk_slave_delay","Feb 12, 2010 21:42:06","1266010926"
"895","Enhancement","mk_query_digest","Make mk-query-digest output XML format","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-reporting, Tag-plugin, Tag-xml","Feb 11, 2010 20:40:58","1265920858"
"894","Defect","mk_query_digest","mk-query-digest fails to compile if needed modules are in path","Type-Defect, Severity-Minor, Effort-Easy, Benefit-Minimal, Tool-mk_query_digest","Feb 11, 2010 18:15:49","1265912149"
"893","Docs","all","Add header line to embedded modules","Type-Docs, Effort-Easy, Benefit-Minimal, Tool-all, QuickWin","Feb 11, 2010 15:46:54","1265903214"
"892","Enhancement","mk_query_digest","Make mk-query-digest explain its pipeline","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-pipeline, Tag-plugin","Feb 06, 2010 16:46:58","1265474818"
"891","Defect","all","--engines option may be broken","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-all, Tag-showtablestatus, Tag-casesensitivity, Module-SchemaIterator.pm","Feb 05, 2010 23:16:45","1265411805"
"890","Enhancement","","Make chunking possible on multi-column indexes","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tag-indexing, Tag-chunking","Feb 04, 2010 20:23:09","1265314989"
"887","Enhancement","mk_slave_prefetch","Make mk-slave-prefetch query-rewrites pluggable","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_slave_prefetch, Tag-plugin","Feb 04, 2010 05:00:48","1265259648"
"885","Defect","mk_query_digest","History table miss the ""schema"" column","Type-Defect, Severity-Minor, Effort-Moderate, Benefit-Helpful, Tool-mk_query_digest, Tag-queryreview","Feb 03, 2010 15:09:11","1265209751"
"882","Enhancement","new","Make a visual ascii art chart of query activity","Type-Enhancement, Effort-Extensive, Benefit-LifeChanging, Tool-new, Tag-distribution, Tag-curses, Tag-plugin, Tag-asciiart","Feb 02, 2010 05:59:21","1265090361"
"881","Enhancement","mk_query_digest","Make mk-query-digest show iostat-style running statistics","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_query_digest, Tag-iostat, Tag-queueingtheory, Tag-arrivalrate, Tag-distribution, Tag-plugin","Feb 02, 2010 05:45:41","1265089541"
"880","Enhancement","mk_archiver","Make mk-archiver support bulk-delete via IN list","Type-Enhancement, Effort-Moderate, Benefit-Helpful, Tool-mk_archiver, Tag-delete, Tag-performance, Tag-inlist","Feb 02, 2010 04:09:45","1265083785"
"879","Enhancement","mk_table_sync","Optimize mk-table-sync tight loops","Type-Enhancement, Effort-Extensive, Benefit-Minimal, Tool-mk_table_sync, Tag-DBI, Tag-performance","Feb 01, 2010 03:56:59","1264996619"
"878","Enhancement","mk_table_checksum","Make mk-table-checksum report differences across slaves","Type-Enhancement, Effort-Extensive, Benefit-Helpful, Tool-mk_table_checksum, Tag-diff, Tag-reporting, Tag-replication","Feb 01, 2010 03:43:14","1264995794"
"877","Enhancement","mk_table_sync","Make mk-table-sync support action filtering again","Type-Enhancement, Effort-Easy, Benefit-LifeChanging, Tool-mk_table_sync, Tag-filtering, Module-ChangeHandler.pm","Feb 01, 2010 03:18:19","1264994299"
