DATABASE TABLE                     CHUNK HOST      ENGINE      COUNT         CHECKSUM TIME WAIT STAT  LAG
mysql    columns_priv                  0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    columns_priv                  0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    db                            0 127.0.0.1 MyISAM       NULL       3594674635    0    0 NULL NULL
mysql    db                            0 127.1     MyISAM       NULL       3594674635    0    0 NULL NULL
mysql    func                          0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    func                          0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    help_category                 0 127.0.0.1 MyISAM       NULL       2638741216    0    0 NULL NULL
mysql    help_category                 0 127.1     MyISAM       NULL       2638741216    0    0 NULL NULL
mysql    help_keyword                  0 127.0.0.1 MyISAM       NULL       1343323017    0    0 NULL NULL
mysql    help_keyword                  0 127.1     MyISAM       NULL       1343323017    0    0 NULL NULL
mysql    help_relation                 0 127.0.0.1 MyISAM       NULL        811644232    0    0 NULL NULL
mysql    help_relation                 0 127.1     MyISAM       NULL        811644232    0    0 NULL NULL
mysql    help_topic                    0 127.0.0.1 MyISAM       NULL       1194070752    0    0 NULL NULL
mysql    help_topic                    0 127.1     MyISAM       NULL       1194070752    0    0 NULL NULL
mysql    host                          0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    host                          0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    proc                          0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    proc                          0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    procs_priv                    0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    procs_priv                    0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    tables_priv                   0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    tables_priv                   0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone                     0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone                     0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_leap_second         0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_leap_second         0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_name                0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_name                0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_transition          0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_transition          0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_transition_type     0 127.0.0.1 MyISAM       NULL                0    0    0 NULL NULL
mysql    time_zone_transition_type     0 127.1     MyISAM       NULL                0    0    0 NULL NULL
mysql    user                          0 127.0.0.1 MyISAM       NULL       3023549065    0    0 NULL NULL
mysql    user                          0 127.1     MyISAM       NULL       3023549065    0    0 NULL NULL
DATABASE TABLE    CHUNK HOST      ENGINE      COUNT         CHECKSUM TIME WAIT STAT  LAG
test     checksum     0 127.0.0.1 MyISAM       NULL       2828047164    0    0 NULL NULL
test     checksum     0 127.1     MyISAM       NULL       2828047164    0    0 NULL NULL
test     issue_47     0 127.0.0.1 MyISAM       NULL       2250530736    0    0 NULL NULL
test     issue_47     0 127.1     MyISAM       NULL       2250530736    0    0 NULL NULL
